ID,SRCID,SNKID,COST,Cap
338,32,15,1,80
339,32,14,1,80
340,32,48,1,80
341,41,44,1,80
342,41,77,1,80
343,41,42,1,80
344,41,39,1,80
345,41,48,1,80
346,30,33,1,80
347,39,44,1,80
348,39,42,1,80
349,44,42,1,80
350,90,122,1,80
351,117,119,1,80
352,117,119,1,80
353,118,120,1,80
354,120,121,1,80
355,112,120,1,80
356,120,121,1,80
357,87,89,1,80
358,123,124,1,80
359,125,52,1,80
360,125,53,1,80
361,125,126,1,80
362,125,126,1,80
363,126,47,1,80
364,126,47,1,80
365,121,113,1,80
366,23,16,1,80
367,127,59,1,80
368,127,59,1,80
369,89,128,1,80
370,128,16,1,80
371,123,30,1,80
372,124,30,1,80
373,87,129,1,80
374,129,90,1,80
375,129,5,1,80
376,123,130,1,80
377,124,130,1,80
378,128,24,1,80
379,130,31,1,80
380,130,32,1,80
381,50,122,1,80
382,49,122,1,80
383,130,124,1,80
384,126,47,1,80
385,125,126,1,80
386,125,126,1,80
387,126,47,1,80
388,124,53,1,80
389,53,124,1,80
390,59,12,1,80
391,46,89,1,80
